Part Name,Color,Quantity,Part ID,Color Code
"Plate  2 x  2 Corner","Reddish Orange",4,2420.dat,402
"Technic Beam  5 x  3 x  0.5 Liftarm Triangle","Green",2,2905.dat,2
"Technic Beam  5 x  3 x  0.5 Liftarm Triangle","Dark Turquoise",2,2905.dat,3
"Technic Angle Connector #1","Dark Green",1,32013.dat,288
"Technic Axle  2 Notched","Light Grey",4,32062.dat,7
"Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced","Neon Yellow",2,32123b.dat,368
"Technic Beam  3","Red",1,32523.dat,4
"Plate  1 x  6 with Light Grey Trapezoid Pattern","Brown",2,3666py0.dat,6
"Technic Brick  1 x  4 with Holes","Light Nougat",2,3701.dat,78
"Technic Brick  1 x  8 with Holes","Light Grey",2,3702.dat,7
"Technic Axle  4","Black",2,3705.dat,0
"Technic Axle  4","Modulex Foil White",1,3705.dat,30080
"Technic Axle Pin","Blue",4,3749.dat,1
"Technic Beam  2 x  0.5 Liftarm","Medium Tan",2,41677.dat,371
"Technic Cross Block 1 x 3 (Axle/Pin/Pin)","Brown",1,42003.dat,6
"Technic Axle Joiner Inline Smooth","Dark Grey",2,59443.dat,8
"Technic Beam  3 x  0.5 Liftarm","Maersk Blue",2,6632.dat,313
